Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
India,IND,"Population, total",SP.POP.TOTL,445954579,456351876,467024193,477933619,489059309,500114346,510992617,521987069,533431909,545314670,557501301,569999178,582837973,596107483,609721951,623524219,637451448,651685628,666267760,681248383,696828385,712869298,729169466,745826546,762895156,780242084,797878993,815716125,833729681,852012673,870452165,888941756,907574049,926351297,945261958,964279129,983281218,1002335230,1021434576,1040500054,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
India,IND,Population growth (annual %),SP.POP.GROW,..,2.30470638074818,2.31168916319999,2.30907889966126,2.30119179559958,2.23529958573103,2.15183776822664,2.12876735867267,2.16886163107629,2.2031572336638,2.21018327712813,2.21700817584549,2.22743096189467,2.25117630687251,2.25820438079867,2.23845727724451,2.20905061418648,2.20841658709872,2.21293517819365,2.22353406114706,2.2612188534673,2.27589299161564,2.26080777945204,2.25868924622921,2.26275505157058,2.24836240132238,2.23527124737904,2.21094603012958,2.184281790986,2.16921748136657,2.14114053890499,2.10189105362679,2.07434424472354,2.04783736093956,2.02085601987654,1.99187122902055,1.95143550144522,1.91926259528322,1.88755786468172,1.8493332514954,1.82218400218023,1.80844642123748,1.77676787418134,1.72426903226703,1.67281087022876,1.60412916927926,1.52430796041014,1.46637175001498,1.42239150883577,1.39119493033754,1.37759581159767,1.36158808453343,1.33219204981494,1.29754883539168,1.24036218382689,1.18779532005068,1.18504622906796,1.15562449067646,1.08752772157855,1.02531077187097,0.95522085775158,0.797216093898126,0.680372581057012
India,IND,Surface area (sq. km),AG.SRF.TOTL.K2,..,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,..
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,..,153.488971777787,157.078489097569,160.747755441126,164.48975982026,168.208000834121,171.866788533528,175.564652444008,179.413999441677,183.41063638718,187.50947669002,191.713001187277,196.03118973224,200.494244565601,205.073322256566,209.715564427433,214.399835866527,219.187346923675,224.091887837642,229.130456849377,234.370620444708,239.765806423404,245.248189991222,250.850617014049,256.591457659954,262.425907526932,268.357889337715,274.357213968835,280.415876886442,286.565161661381,292.767083502904,298.985855596178,305.252623949361,311.568146334408,317.928540725618,324.324758592623,330.715903793569,337.124512728753,343.548369259953,349.96083465907,356.396219212361,362.900086102805,369.405601054759,375.830378482371,382.170188585324,388.350126631665,394.315125504929,400.139852818017,405.872078810974,411.558010083446,417.266848065546,422.987158910127,428.65986196644,434.258174889597,439.678092890128,444.931708030768,450.235719883358,455.468934040542,460.44931739983,465.194639427685,469.659566660725,473.418732741601,..
India,IND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.2,..,..,..,..,29.8,..,21.9,..,..,..,..,..,..,..,..,..,..,..
India,IND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.1,..,..,..,..,..,56.3,..,..,..,50.6,..,..,..,..,..,47.6,..,..,..,..,..,..,..,..,..,..,39.9,..,..,..,..,32.9,..,22.5,..,..,..,18.7,18.1,13.4,11.1,12.7,14.7,11.9,..
India,IND,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,..,..,41173872222.2071,45729179840.7481,52536801613.1606,55857843972.8241,53934009890.0971,55004484945.6973,53910366503.1051,59167585261.7116,63879486647.9211,67629616322.2543,71807649204.845,85739261065.6305,102230290594.932,118282717798.397,115091126940.907,121037471851.272,138152204992.717,152445140345.357,188583005661.953,210991399011.53,210369119707.003,212449802210.539,215868670720.211,229291867280.971,250405571941.645,287582672142.244,329150684734.241,332774280344.701,334591733114.052,308580781758.816,312509693786.6,300632780410.02,322746130827.01,354316507450.221,395271171572.307,409899467954.566,420153119289.202,454396843482.959,467082097281.702,485442590011.091,500197978419.465,573893143642.804,687282161520.167,809085090886.068,916983754264.307,1081966970557.62,1195031000085.44,1358352104309.97,1505735812102.73,1704432599754.89,1870994898063.07,1941116726990.66,2020998379216.56,2097598199310.03,2226423003454.8,2439593977287.58,2713329694951.9,2878536453270.38,2659600280128.38,3019856778493.94,3370147837589.91
India,IND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,90,100,110,110,110,110,100,110,110,120,120,140,170,190,180,190,210,220,270,300,290,280,280,290,310,350,390,390,380,350,340,320,340,370,400,410,410,440,440,450,460,510,600,700,780,910,990,1110,1210,1360,1470,1500,1550,1590,1660,1800,1980,2080,1900,2150,2380
India,IND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1034506921791.05,1078472958650.32,1163426828475,1249496798796.94,1362619004036.44,1498913049687.03,1644587990175.31,1742164155402.87,1870916383120.84,2066536451928.98,2188197810596.11,2350069155229.51,2482413330516.74,2728406064236.69,3024818504447.73,3366286523961.53,3747530644450.16,4158793573549.76,4361562882377.18,4734626196586.35,5173866049787.04,5568974800574.79,6080904818549.92,6396857208684.85,6700838434194.09,7076731493413.66,7577059418948.02,8187427038374.48,8926347411981.02,9448744556227.71,8978916906284.87,10163358058763.2,11636782087950.8
India,IND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1190,1210,1280,1350,1440,1550,1670,1740,1830,1990,2070,2180,2260,2440,2660,2920,3200,3500,3610,3870,4170,4430,4770,4950,5130,5350,5660,6050,6520,6830,6430,7220,8210
India,IND,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.2,..,..,..,..,..,8.5,..,..,..,8.7,..,..,..,..,..,8.9,..,..,..,..,..,..,..,..,..,..,8.5,..,..,..,..,8.3,..,8.1,..,..,..,8.4,8.3,8.2,8.1,7.8,7.9,8.1,..
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.218,45.398,45.659,45.936,46.184,44.98,45.333,45.674,47.471,47.857,48.241,48.632,49.025,49.539,50.244,50.812,51.388,51.909,52.492,53.06,53.611,54.175,54.732,55.281,55.816,56.334,56.835,57.315,57.777,58.233,58.652,59.055,59.452,59.815,60.216,60.596,60.984,61.388,61.792,62.207,62.669,63.091,63.616,64.094,64.524,64.996,65.412,65.788,66.149,66.513,66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,67.24,..
